datetime_register_str;nome_sistema;tipo_registro;valor_venda;metodo_pag;etapa_erro;descricao_erro
2024-08-12 14:48:16;A123EE0;erro_outros;;;send_request;;maximum number of attempts to connect to server exceeded
2024-08-12 17:13:07;A123EE0;erro_outros;;;send_request_client_socket;<class -ConnectionRefusedError->;[WinError 10061] No connection could be made because the target machine actively refused it
2024-08-12 17:13:11;A123EE0;erro_outros;;;send_request_client_socket;<class -ConnectionRefusedError->;[WinError 10061] No connection could be made because the target machine actively refused it
2024-08-12 17:13:15;A123EE0;erro_outros;;;send_request_client_socket;<class -ConnectionRefusedError->;[WinError 10061] No connection could be made because the target machine actively refused it
2024-08-12 17:13:17;A123EE0;erro_outros;;;send_request;;maximum number of attempts to connect to server exceeded
2024-08-12 17:13:17;A123EE0;erro_outros;;;request_datetime_server;<class -UnboundLocalError->;cannot access local variable -response- where it is not associated with a value
2024-08-12 17:30:05;A123EE0;erro_outros;;;send_request_client_socket;<class -ConnectionRefusedError->;[WinError 10061] No connection could be made because the target machine actively refused it
2024-08-12 17:30:09;A123EE0;erro_outros;;;send_request_client_socket;<class -ConnectionRefusedError->;[WinError 10061] No connection could be made because the target machine actively refused it
2024-08-12 17:30:13;A123EE0;erro_outros;;;send_request_client_socket;<class -ConnectionRefusedError->;[WinError 10061] No connection could be made because the target machine actively refused it
2024-08-12 17:30:15;A123EE0;erro_outros;;;send_request;;maximum number of attempts to connect to server exceeded
2024-08-12 17:30:15;A123EE0;erro_outros;;;request_datetime_server;<class -UnboundLocalError->;cannot access local variable -response- where it is not associated with a value
